ticker,name,sector,region,country,indices
002380.KS,KCC,Constructions,Asie,Corée du Sud,KOSPI 200
0027.HK,Galaxy Entertainment Group Ltd.,Commerce & Industry,Asie,Hong Kong,Hang Seng
002790.KS,Amorepacific Holdings,Consumer Staples,Asie,Corée du Sud,KOSPI 200
002840.KS,Miwon Commercial,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
003030.KS,Seah Steel Holdings,Steels & Materials,Asie,Corée du Sud,KOSPI 200
003090.KS,Daewoong,Health Care,Asie,Corée du Sud,KOSPI 200
003230.KS,Samyang Foods,Consumer Staples,Asie,Corée du Sud,KOSPI 200
003240.KS,Taekwang Industrial,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
003490.KS,Korean Air,Industrials,Asie,Corée du Sud,KOSPI 200
003550.KS,LG,IT,Asie,Corée du Sud,KOSPI 200
003670.KS,POSCO Future M,Industrials,Asie,Corée du Sud,KOSPI 200
004000.KS,Lotte Fine Chemical,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
004020.KS,Hyundai Steel,Steels & Materials,Asie,Corée du Sud,KOSPI 200
004170.KS,Shinsegae,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
004370.KS,Nongshim,Consumer Staples,Asie,Corée du Sud,KOSPI 200
004990.KS,Lotte,Consumer Staples,Asie,Corée du Sud,KOSPI 200
005300.KS,Lotte Chilsung,Consumer Staples,Asie,Corée du Sud,KOSPI 200
005380.KS,Hyundai Motor,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
005420.KS,Cosmo Chemical,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
005490.KS,POSCO,Steels & Materials,Asie,Corée du Sud,KOSPI 200
005830.KS,DB Insurance,Financials,Asie,Corée du Sud,KOSPI 200
005850.KS,SL,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
005930.KS,Samsung Electronics,IT,Asie,Corée du Sud,KOSPI 200
005940.KS,NH Investment & Securities,Financials,Asie,Corée du Sud,KOSPI 200
006040.KS,Dongwon Industries,Consumer Staples,Asie,Corée du Sud,KOSPI 200
006260.KS,LS,Industrials,Asie,Corée du Sud,KOSPI 200
006280.KS,Green Cross,Health Care,Asie,Corée du Sud,KOSPI 200
006400.KS,Samsung SDI,IT,Asie,Corée du Sud,KOSPI 200
0066.HK,MTR Corporation Ltd,Commerce & Industry,Asie,Hong Kong,Hang Seng
006650.KS,Korea Petrochemical,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
006800.KS,Mirae Asset Securities,Financials,Asie,Corée du Sud,KOSPI 200
007070.KS,GS Retail,Consumer Staples,Asie,Corée du Sud,KOSPI 200
007310.KS,Ottogi,Consumer Staples,Asie,Corée du Sud,KOSPI 200
007340.KS,DN Automotive,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
007660.KS,Isu Petasys,IT,Asie,Corée du Sud,KOSPI 200
008730.KS,Youlchon Chemical,Steels & Materials,Asie,Corée du Sud,KOSPI 200
008770.KS,Hotel Shilla,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
008930.KS,Hanmi Science,Health Care,Asie,Corée du Sud,KOSPI 200
009150.KS,Samsung Electro-Mechanics,IT,Asie,Corée du Sud,KOSPI 200
009240.KS,Hanssem,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
009420.KS,Hanall Biopharma,Health Care,Asie,Corée du Sud,KOSPI 200
009540.KS,HD KSOE,Heavy Industries,Asie,Corée du Sud,KOSPI 200
009830.KS,Hanwha Solutions,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
009970.KS,Youngone Holdings,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
010060.KS,OCI Holdings,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
0101.HK,Hang Lung Properties Limited,Properties,Asie,Hong Kong,Hang Seng
010120.KS,LS Electric,Industrials,Asie,Corée du Sud,KOSPI 200
010130.KS,Korea Zinc,Steels & Materials,Asie,Corée du Sud,KOSPI 200
